max_steps,timehorizon,best_reward,avg_reward,std_reward
100,1,0.3309707206451444,0.2571476958776249,0.06317117926619846
100,2,0.3407456597575925,0.24020621767050626,0.06875151584009272
100,3,0.31057565370104073,0.2567951466615483,0.03352476804056683
100,4,0.3033181039602824,0.22215937664292787,0.08830999510917355
100,5,0.40563659608001157,0.3080712843203739,0.06911562854047304
100,8,0.4282962348426461,0.2567743302695189,0.08787589868541966
100,10,0.6408207697749213,0.24366374468814783,0.14292770772933733
200,1,0.44956673392377594,0.11640485190576311,0.14282791058324637
200,2,0.8953473771897197,0.2259885637063578,0.27299636419166756
200,3,0.5872204086498529,0.14288807406751064,0.21149929505735363
200,4,0.8192903638563104,0.25278842484448666,0.26381667306209483
200,5,0.9833791543396503,0.18047297568339665,0.2957109478047936
200,8,0.5686060732423603,0.22524309775684975,0.19532866227817378
200,10,0.9149386650889334,0.4308007509867543,0.29203680681025407
300,1,0.6668628760270447,0.303112672189196,0.26723060805633786
300,2,1.0,0.4281640823416325,0.41553689433954594
300,3,0.5344339316335542,0.11424118929128632,0.19019612704473926
300,4,1.0,0.561544762479865,0.41336390863195377
300,5,1.0,0.38867183566489916,0.3935716817506171
300,8,1.0,0.6629596797167375,0.3324704421179362
300,10,1.0,0.3290407236695191,0.3674459789589039
500,1,1.0,0.28264517179584536,0.34701513821168223
500,2,1.0,0.47992375477368193,0.35205926005087085
500,3,1.0,0.3692564514614351,0.3710659238328492
500,4,1.0,0.46188619143756104,0.4464885868094775
500,5,1.0,0.554492203616846,0.4632161969969266
500,8,0.943727762346325,0.3965841772944198,0.39286178471037486
500,10,1.0,0.5614996612923502,0.2872978449672539
